cost,emission,discomfort,dummy,electrolyzer elecGrid,heatpump elecGrid,rooftop pv elecGrid,heatpump_ac elecGrid,heatpump_ac heatGrid,heatpump heatGrid,fuel cell heatGrid,fuel cell storageGrid,electrolyzer storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],elec import elecGrid,elec import fuelGrid,clo_lvl
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.01123,1.496998982,74320.0,0.0,,-14.5206713653468,18.1623590348662,-1.18156727083203,-2.36313454166407,19.0762645314233,,,,0.0135524042573351,0.144316693614861,,,,0.0104550072313078,0.0085252843358381,0.0073549095078102,3.66911515132043,-3.66911515132043,light clothing
0.005734,3.827766068,49360.0,0.0,,-14.6444825211055,11.466922368427,-0.463153546958753,-0.926307093917505,21.3167397636103,,,,0.008836666212871,0.0905256631046622,,,,0.0089845020323251,0.0049086421857145,0.001588363037836,9.38177957930478,-9.38177957930478,light clothing
0.016599,0.895602832,61840.0,0.0,-0.0704651896844413,-15.5909517951076,23.7299720069439,-2.36398322544899,-4.72796645089799,17.051863070748,0.02080920654149,-0.0498788612961842,0.0500302846759541,0.0272419815533911,0.203943603207014,1.03473112605642e-05,3.74104820607829e-05,0.05,0.0232872188667648,0.0088343764912202,0.011046,2.19510497928156,-2.19510497928156,light clothing
0.005231,4.117310109,75880.0,0.0,,-13.8334761972983,9.69180473210883,-0.246013938440218,-0.492027876880436,22.2397785804035,,,,0.0079948253721431,0.0838883512168845,,,,0.0067786907849866,0.0029317303100554,0.0011356988715566,10.0914463458694,-10.0914463458694,light clothing
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.006212,2.371953607,86666.67,0.0,,-13.8326289415786,14.7522028357967,-0.607908871856751,-1.2158177437135,18.2043335222212,,,,0.0142577532569482,0.12205857265856,,,,0.0131056136756421,0.003924610591175,0.002498905456128,5.81361178299115,-5.81361178299115,light clothing
0.007724,2.080286941,79000.0,0.0,,-14.1668126415464,16.0047228816592,-0.809413760682311,-1.61882752136462,18.3293789392976,,,,0.0140360797301028,0.139930881523781,,,,0.0112863201750884,0.0044161757902454,0.0040250259228791,5.09874250201906,-5.09874250201906,light clothing
0.004951,3.979938127,113333.33,0.0,,-12.9381999581211,8.96546764637143,-0.0920443412125759,-0.184088682425152,21.1006999823605,,,,0.0073646759928227,0.0790587608199789,,,,0.006700633407042,0.0012328871683858,0.0010238625961861,9.75475031141391,-9.75475031141391,light clothing
0.006024,2.957936165,63400.0,0.0,,-14.3193788174202,13.3859463592793,-0.564441686049047,-1.12888337209809,17.9491150907576,,,,0.0096025382866493,0.102953416884162,,,,0.0146963967377144,0.0045700809886316,0.0020665091612209,7.24984354055512,-7.24984354055512,light clothing
0.005048,3.826473908,100000.0,0.0,,-13.2484453755423,9.82704836274718,-0.248459123951065,-0.496918247902129,21.492593605459,,,,0.0079794976195919,0.0785456497070855,,,,0.0064746525182051,0.0028517841361725,0.0011833274630661,9.37861252079912,-9.37861252079912,light clothing
0.009628,1.788657579,72760.0,0.0,,-14.4865906410046,17.4671111854716,-1.09442753244312,-2.18885506488623,19.0585384770218,,,,0.0137752012877561,0.143248106958441,,,,0.0105625239083131,0.0085252716309044,0.0058210542347176,4.38396465504562,-4.38396465504562,light clothing
0.006076,3.249602832,50920.0,0.0,,-14.7163742296511,13.1816906239535,-0.67682532897898,-1.35365065795796,18.8619871682151,,,,0.0094519584314056,0.104444505658621,,,,0.0136295268641271,0.0057678826595175,0.0019777395504925,7.96471282241836,-7.96471282241836,light clothing
0.015469,0.895602832,72760.0,0.0,,-15.0538435839602,21.7575431349964,-1.93282338396874,-3.86564676793747,15.7430593610359,,,,0.0208243521295676,0.13165426121611,,,,0.0183973064940404,0.00852533342019,0.010658346691164,2.19510497928124,-2.19510497928124,light clothing
0.011755,1.497163099,66520.0,0.0,,-14.6842498653513,18.3061682774892,-1.12787162620452,-2.25574325240904,18.5384678474012,,,,0.0134964543110727,0.148142562010203,,,,0.0115547430368574,0.0085256107084989,0.0077400992024014,3.66951740055081,-3.66951740055081,light clothing
0.009917,1.788752097,68080.0,0.0,,-14.6560932752635,17.4952575632844,-1.10256111031228,-2.20512222062456,19.6300120717201,,,,0.0137381835615655,0.141655181727339,,,,0.0103499678167181,0.0085254592333615,0.0060759042854927,4.38419631634642,-4.38419631634642,light clothing
0.009535,1.78865823,74320.0,0.0,,-14.4507198574632,17.3444255065733,-1.25084046531116,-2.50168093062232,18.9721655976121,,,,0.0137868864228689,0.143313564001328,,,,0.0106144121582965,0.0085252768554895,0.0057406074438615,4.3839662497543,-4.3839662497543,light clothing
0.011697,1.39695363,77440.0,0.0,,-14.3740975260766,17.7959907566874,-0.944408411588577,-1.88881682317715,17.7019683994075,,,,0.0134912651609892,0.152999864182323,,,,0.0113389606966064,0.0053967083954194,0.0077758241184991,3.42390595466609,-3.42390595466609,light clothing
0.007615,2.075714163,93333.33,0.0,,-13.6803566282581,15.0260554894653,-0.387022408817073,-0.774044817634145,19.4198570977611,,,,0.014031196031432,0.124513282349534,,,,0.0092477220279238,0.0016276454058074,0.0040586479462255,5.08753471291828,-5.08753471291828,light clothing
