cost,emission,discomfort,dummy,elec import elecGrid,rooftop pv elecGrid,elec import fuelGrid,heatpump heatGrid,heatpump_ac heatGrid,electrolyzer storageGrid,fuel cell storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],gas boiler fuelGrid,gas boiler heatGrid,gas boiler invest[MW(h)],clo_lvl
0.004603,5.330710606,7.8,0.0,2.23247533066131,10.2566660569188,-2.23247533066131,-23.3176439670243,-0.546504039773958,,,0.0090548487158745,0.0757179216349761,,,,0.005985926819468,0.0030893683636744,0.0123585599458122,-24.3116648595934,-21.88049837362385,0.0104672278721815,light_clothing
0.004885,3.564026162,12.83,0.0,4.59841962506055,11.5991153449784,-4.59841962506055,-33.9519193226234,-0.66216666753185,,,0.0095769858310427,0.0552468051683224,,,,0.0077524074706831,0.0032399881110906,0.0160918479531857,-9.28421867683248,-8.355796809130887,0.0061349494763944,light_clothing
0.004548,5.872238432,7.24,0.0,1.19159187325843,10.0971904181655,-1.19159187325846,-18.84604048045357,-0.423128506788921,,,0.0090992192806891,0.072517893718271,,,,0.0057484645105256,0.0025794592644807,0.0119504423659219,-29.6263418456104,-26.66370766104036,0.010483852846058,light_clothing
0.004507,6.682615725,6.96,0.0,1.31604463766088,8.61993488550587,-1.31604463766084,-15.198261247308018,-0.149833002827388,,,0.0098102170672989,0.0609549802284606,,,,0.0053962510142961,0.0010129584435017,0.0092166764766329,-33.8045627750278,-30.42410649753185,0.0105640213580372,light_clothing
0.00463,3.733048889,17.0,0.0,4.06121405569485,10.4020613523018,-4.06121405569485,-29.207867289923698,,,,0.009631233927995,0.0537004952208085,,,,0.0072344065019258,,0.0144927269485956,-11.4195465049395,-10.277591854425683,0.0072100574536818,light_clothing
0.006058,2.889602832,10.04,0.0,7.08235988124236,14.0712300705173,-7.08235988124236,-45.8811658765108,-1.92052155467234,,,0.0138398407167435,0.170315734472892,,,,0.0182564659449184,0.0063695076355821,0.0176736,,,,light_clothing
0.004359,6.407358575,9.48,0.0,1.32304222293636,8.38765245822097,-1.32304222293636,-14.656838794452682,-0.0876192539295634,,,0.0097617279160887,0.0565288179987115,,,,0.0049529879129001,0.0006601131432728,0.009069900013182,-32.2747928939249,-29.04731360453475,0.0102175112584657,light_clothing
0.004699,4.782081042,8.36,0.0,3.63003309581926,10.5455592619342,-3.63003309581926,-28.6506575374993,-0.725663243713946,,,0.0090143430390468,0.0694704884512137,,,,0.0062132736694461,0.0039250012868679,0.0127311285364491,-18.1574672109837,-16.34172048987891,0.0101083129766947,light_clothing
0.004276,5.86573598,11.44,0.0,1.21065794137254,8.92090941576399,-1.21065794137254,-15.909043288413642,-0.125805387825665,,,0.0094079365348735,0.0725309956485264,,,,0.0055290101048326,0.0008444126341262,0.0098474859982598,-29.5477862464077,-26.59300762175668,0.0097545125125006,light_clothing
0.00448,5.599701537,8.64,0.0,1.20471423955502,10.1554699559442,-1.20471423955639,-19.18244288203689,-0.511602983348616,,,0.0090798807785877,0.0716952817830052,,,,0.005796341572731,0.0028374303755938,0.0121283166550883,-28.0977894777034,-25.2880105299334,0.0103966154062455,light_clothing
0.005037,4.073363096,8.64,0.0,4.9080109644947,11.5349236572141,-4.9080109644947,-34.6946131828066,-0.896069270609048,,,0.009597681431636,0.0533875201260381,,,,0.0074911446681776,0.0043846623614366,0.0154817847164911,-11.3910595303762,-10.25195357735176,0.0068643953912765,light_clothing
0.004366,5.594718761,10.32,0.0,1.19259139148628,9.67328362576429,-1.19259139148654,-17.99403101436051,-0.176420749707225,,,0.0091424931682617,0.066927945795797,,,,0.0053798240050443,0.0010622009719317,0.0115524119522374,-28.0975878609937,-25.28782907489565,0.0099568071415315,light_clothing
0.00479,4.512552308,8.64,0.0,4.01494701793852,10.7279253035966,-4.01494701793852,-30.5467305161627,-0.753352707798427,,,0.0088851465942871,0.0545587160052282,,,,0.0064939584836916,0.0039254019575195,0.0139194690632389,-15.8110776961079,-14.22996992647057,0.0086731089940252,light_clothing
0.004792,4.782472397,7.52,0.0,3.87716868894525,10.5753622953608,-3.87716868894525,-29.7428804301556,-0.708799170146658,,,0.0089696206628138,0.0619045426764753,,,,0.0065092342660171,0.0039245797583062,0.0131424820549679,-17.6049921471355,-15.84449293241465,0.0096777789966541,light_clothing
