pv cf,heat_demand_kW,electricity_demand_kW,T_outside
0,2.5789075,0.125239516666667,-1.8
0,2.6395445,0.122325066666667,-2.2
0,2.7758805,0.11497615,-1.7
0,3.05417333333333,0.115539833333333,-1.3
0,3.9761065,0.135681383333333,-1.3
0,5.8353325,0.1216818,-1.2
0,7.29624016666667,0.12421435,-0.2
0,6.94931833333333,0.280528166666667,0.3
0,6.68638766666667,0.13875845,0.6
0.00144,6.22761383333333,0.248106833333333,0.4
0.0423,7.076755,0.838092833333333,0.5
0.09886,5.71649316666667,0.7948077,1.7
0.17498,5.523572,0.3263955,2.3
0.11668,5.57629216666667,0.248800666666667,1.9
0.0144,5.71558116666667,1.15597483333333,2
0,5.93061333333333,0.537034176666667,0.5
0,6.13112633333333,0.53632225,0.4
0,6.36118366666667,0.591693875,0.6
0,6.43188866666667,0.640782166666667,0.9
0,6.38409683333333,0.500937,1.2
0,6.03866366666667,0.427901666666667,1.4
0,5.18841316666667,0.4351575,1.8
0,6.19387033333333,0.449867566666667,1.6
0,2.75083283333333,0.114637183333333,1.2
0,2.4912055,0.125355866666667,0.5
0,2.53516483333333,0.122359833333333,0.3
0,2.66679483333333,0.11435235,0.2
0,2.9341505,0.1151451,0.1
0,3.81985516666667,0.135485333333333,0.2
0,5.60601683333333,0.12099645,0.2
0,6.93647166666667,0.12332645,0.3
0.00114,6.674433,0.131774283333333,0.4
0.04032,6.34879233333333,0.123733416666667,0.6
0.13502,5.98108933333333,0.143977316666667,0.7
0.34596,6.40231266666667,0.991251093333333,1.1
0.4575,5.49491033333333,0.33300094,1.3
0.44304,5.384407,0.254738666666667,2
0.27416,5.35715683333333,0.477688266666667,3.2
0.0585,5.568871,1.01831276666667,3.3
0,5.6975535,0.935476785,2.9
0,5.89018766666667,0.260866691666667,2.5
0,6.11120466666667,0.549700475,2.2
0,6.1791305,0.375457273333333,1.9
0,6.133217,0.271905833333333,2.2
0,5.80135916666667,0.348182166666667,1.6
0,4.98452116666667,0.237671166666667,1.2
0,3.4479525,0.227504,0.7
0,2.655014,0.194489,0.5
0,2.52623233333333,0.205206333333333,0.2
0,2.58051833333333,0.14882965,0.2
0,2.71450266666667,0.114276116666667,0.8
0,2.98664116666667,0.115311616666667,0.9
0,3.8900565,0.136631083333333,1.3
0,5.7823365,0.244371516666667,1.4
0,7.13845766666667,0.322748616666667,1.6
0.00338,6.79383466666667,0.18905,1.7
0.04488,6.462368,0.12811505,2
0.10126,7.3157625,0.334130583333333,2.2
0.10382,5.7215765,0.207978333333333,2
0.11142,5.51391966666667,0.125061716666667,2.1
0.1423,5.40143916666667,0.123589383333333,2.3
0.10678,5.45299383333333,0.124538966666667,2
0.02798,5.58920183333333,0.135966,1.9
0,5.79948066666667,0.291173666666667,2
0,5.99555966666667,0.402884333333333,2.3
0,6.22053083333333,0.40529555,2.3
0,6.289672,1.00464557333333,2.2
0,6.3208355,0.318080666666667,2.7
0,5.905142,0.360211666666667,2.9
0,5.151589,0.413074166666667,3
0,4.81416116666667,0.931024666666667,3.2
0,2.768715,0.647583476666667,3.2
0,2.44478583333333,0.278354183333333,3.1
0,2.4886095,0.221692475,3.1
0,2.61782166666667,0.197810973333333,3.3
0,2.88026866666667,0.174925833333333,3.4
0,3.7497065,0.15020145,4
0,5.580966,0.188835,4.4
0,6.80909,0.202685,4.5
0,7.7795385,0.389055666666667,4.8
0.00062,6.2322025,0.263845333333333,4.7
0.00308,5.871252,0.256120333333333,4.9
0.00628,5.595693,0.29031,5.1
0.0089,6.02092716666667,1.1601666,4.1
0.01528,5.98848516666667,1.12015483333333,4.6
0.00624,5.2587775,0.229333166666667,5
0,5.39013516666667,0.524957166666667,4.2
0,5.59292366666667,0.636587833333333,4.4
0,5.782019,1.34934450833333,4.2
0,7.29895033333333,0.617582218333333,3.4
0,6.065656,0.510474,3.4
0,6.09848433333333,0.218036841666667,3.3
0,5.69482216666667,0.317454406666667,2.9
0,4.8929845,0.218063333333333,2.5
0,3.38290016666667,0.11969745,2.1
0,2.60989266666667,0.128902916666667,1.2
0,2.519828,0.125244,0.7
0,2.57636433333333,0.1222218,-0.7
0,2.71013266666667,0.11465095,0.3
0,2.981834,0.11540215,0.5
0,3.95983033333333,0.240211366666667,0.8
0,5.697121,0.18836155,0.1
0,7.04919666666667,0.123257033333333,-0.6
0,6.78290066666667,0.1524626,-0.8
0.02308,7.7575405,0.219570333333333,-0.8
0.05368,6.15618666666667,0.188861716666667,-0.2
0.09336,5.71236883333333,0.135979183333333,0.2
0.15394,5.50504416666667,0.120881733333333,0.5
0.15846,5.39274516666667,0.122490083333333,0.7
0.0927,5.44421716666667,0.125559,0.1
0.02114,5.58020633333333,0.136215166666667,-0.2
0,5.79014516666667,0.210665166666667,-0.7
0,5.98590883333333,0.3134105,-1.4
0,6.21051833333333,0.431208166666667,-2.1
0,6.35744766666667,0.3911655,-3.1
0,6.23288883333333,0.278512,-2.2
0,5.89563783333333,0.643123216666667,-2.6
0,6.36549933333333,0.515973073333333,-3.3
0,3.995203,0.360491,-4.2
0,3.43489033333333,0.313188166666667,-5.3
0,2.57271533333333,0.308287166666667,-6.1
0,2.62833566666667,1.351947275,-6.8
0,2.76480383333333,0.415096585,-7
0,3.04198483333333,0.32482614,-7.7
0,4.03813833333333,0.441714268333333,-7.8
0,5.88994466666667,0.171436706666667,-8.4
0,7.19139683333333,0.14876005,-8.6
0.01688,6.9976265,0.1556389,-8.6
0.1308,6.582119,0.12884215,-8.1
0.3333,6.20090316666667,0.123745983333333,-5.6
0.34822,5.8276005,0.136114183333333,-4.2
0.19806,5.61609533333333,0.121625916666667,-2.7
0.14514,5.50153,0.119882883333333,-2.2
0.09148,5.5540405,0.251467633333333,-1.6
0.01846,5.6927725,0.1360955,-1.6
0,5.90694766666667,0.165037333333333,-1.9
0,6.1845575,0.213104666666667,-2.7
0,6.3357995,0.392854,-3.9
0,7.10961633333333,0.751007333333333,-4.7
0,7.5881615,0.86307035,-4.1
0,6.09059866666667,0.242396983333333,-4.2
0,5.16770866666667,0.320983,-4.3
0,3.65481433333333,0.250220766666667,-4.4
0,2.747261,0.115097033333333,-4.7
0,2.56104366666667,0.12542215,-4.5
0,2.61228033333333,0.122406683333333,-4.8
0,2.74791366666667,0.114322583333333,-4.3
0,3.02340166666667,0.12599785,-3.9
0,3.9360475,0.1356721,-3.5
0,5.77654183333333,0.12106995,-3.6
0,7.22536483333333,0.157743266666667,-4.2
2e-05,6.87745683333333,0.1318248,-4.1
0.0069,6.5419115,0.123616233333333,-3.7
0.01306,6.163023,0.1288408,-3.3
0.0162,5.792001,0.174308166666667,-2.6
0.01044,6.36307833333333,0.12537635,-2.1
0.0145,5.46792333333333,0.25034525,-1.9
0.01214,5.520112,0.197366166666667,-1.7
0.00156,5.65799716666667,0.133341566666667,-1.9
0,5.8708625,0.1288443,-1.6
0,6.0693555,0.174017116666667,-1.5
0,6.29709566666667,0.4501455,-1.3
0,7.06861516666667,0.538925666666667,-1.1
0,6.32164466666667,0.678320166666667,-0.8
0,5.97782466666667,0.366986666666667,-0.5
0,5.21403866666667,0.332666666666667,-0.3
0,3.56068583333333,0.371254333333333,0
0,2.7130705,0.210749166666667,0.2
0,2.3591125,0.205089,0.3
0,2.39188966666667,0.179705183333333,0.4
0,2.51608033333333,0.114315733333333,0.6
0,2.768327,0.114764033333333,0.8
0,3.6039755,0.13534225,1.1
0,5.28919233333333,0.120012833333333,1.3
0,6.5444555,0.122333233333333,1.4
0,6.375124,0.163741616666667,1.5
0.01528,5.98999016666667,0.189469116666667,1.5
0.02682,5.64306733333333,0.124637983333333,1.7
0.01684,5.303347,0.134903166666667,2.4
0.01376,5.1108685,0.1199174,3
0.01432,5.00661066666667,0.11846175,2.9
0.0082,5.05439683333333,0.159244433333333,2.5
0.00038,5.18064883333333,0.130317233333333,2.7
0,5.37555566666667,0.1280042,2.6
0,5.557302,0.11937975,2.1
0,5.8437275,0.184296833333333,1.5
0,5.8299155,1.01868016666667,1.1
0,5.7865975,0.524256425,1
0,5.47349433333333,0.395006333333333,1.1
0,4.70281983333333,0.338695333333333,1
0,3.34102816666667,1.127564,1
0,2.54988483333333,0.443491926666667,1
0,2.03171283333333,0.19433378,1
0,2.04796233333333,0.143084045,0.7
0,2.1542955,0.115402323333333,0.7
0,2.37027116666667,0.113974633333333,1
0,3.163661,0.276985183333333,0.9
0,4.5286635,0.429270166666667,1
0,5.75922816666667,0.35947,1.4
0.00064,5.4696515,0.270674166666667,1.4
0.02946,5.128693,0.260519,1.3
0.04646,4.83165566666667,0.16847115,2.2
0.03352,4.5407835,0.16027965,3.3
0.02904,4.37598033333333,0.122368383333333,4.1
0.02766,4.28671383333333,0.125689383333333,4.4
0.01464,4.3276285,0.335766866666667,4.9
0.0011,5.7357005,0.251386033333333,4.5
0,4.602609,0.166643233333333,4.5
0,4.75822166666667,0.228346833333333,4.3
0,6.16444,0.1882599,4
0,4.99163733333333,0.241553666666667,3.9
0,4.95454616666667,1.25877135333333,3.9
0,4.68646466666667,0.546146438333333,3.7
0,4.02660533333333,0.439339,3.7
0,2.80015633333333,0.248208,3.7
0,2.14842033333333,0.16966235,3.4
0,1.26506083333333,1.19849233333333,3.4
0,1.243242,0.203380116666667,3.6
0,1.34648833333333,0.114368235,3.3
0,1.64388266666667,0.133316306666667,2.8
0,2.45767866666667,0.140729266666667,2.8
0,3.85471716666667,0.1885295,2.7
0,4.84512333333333,0.380649833333333,2.5
0.01598,5.138721,0.3665045,2.5
0.10686,4.00461466666667,0.619868166666667,2.6
0.23912,3.7343925,0.284282216666667,2.8
0.35632,3.35905833333333,0.241725166666667,3
0.39668,3.2274805,0.125297833333333,3.8
0.27492,3.15919366666667,0.1235173,4.4
0.08802,3.1869775,0.12386615,4.4
0.01746,3.38835683333333,0.33242345,4.5
0,3.5022215,0.4310795,4.4
0,3.67700233333333,0.413852333333333,3.8
0,3.89955383333333,0.4642045,3.5
0,5.31147816666667,0.6380695,3.5
0,3.99154516666667,0.360202666666667,3.2
0,3.73541016666667,0.293380666666667,3.3
0,3.083554,0.302747666666667,3.5
0,1.9410835,0.13284365,3.7
0,1.447876,0.112230233333333,3.7
0,1.87310966666667,0.124116133333333,3.8
0,1.97540916666667,0.12101455,3.6
0,2.07551866666667,0.11307955,3.4
0,3.5112715,0.1274437,3.4
0,2.9729245,0.13399425,3.6
0,4.36306283333333,0.1187886,3.8
0,5.3985315,0.1201768,4.1
0.00088,5.27435683333333,0.16391705,4.7
0.01572,5.2522695,0.339906776666667,4.9
0.01434,6.35095833333333,0.58325484,5.1
0.01134,6.30580666666667,0.408975166666667,4.5
0.00778,4.91935616666667,0.260854116666667,4.8
0.00224,4.207859,0.6808857,5.9
0.00042,4.1693795,1.39426359166667,6.7
0,4.27352466666667,0.203445335,6.5
0,4.43430416666667,0.29491704,7.5
0,4.6621255,0.274359735,7
0,4.75624083333333,0.284754306666667,6.8
0,4.80910683333333,0.488024045,6.5
0,4.77337416666667,0.892548016666667,6.3
0,4.51509383333333,0.396808086666667,6
0,3.879363,0.435691,5.9
0,2.7615435,0.204437233333333,5.6
0,2.0659825,0.813152366666667,5.7
0,1.96209683333333,0.503618693333333,5.4
0,2.00400816666667,0.193368026666667,4.6
0,2.108059,0.134185715,4.5
0,2.31940016666667,0.11646779,4.6
0,3.019535,0.134215466666667,4.2
0,4.50936566666667,0.3327551,4.2
0,5.56106983333333,0.177270833333333,4.1
0.00012,5.27603383333333,0.166055116666667,4.2
0.00952,5.09651833333333,0.123643533333333,4.1
0.01396,4.72795666666667,0.1770975,4
0.03564,4.4433275,0.182632633333333,4.8
0.0595,4.35996083333333,0.124490333333333,5.3
0.05824,4.19471116666667,0.122626466666667,5.6
0.02266,4.23474766666667,0.21258805,6
0.0015,4.3405265,0.432544,6
0,4.50382683333333,0.244666166666667,5.7
0,4.6560995,0.238747533333333,5.7
0,6.0584855,1.16073025,5.3
0,4.88450483333333,0.442283168333333,5
0,6.14818466666667,0.508742166666667,3.7
0,4.58775,0.487246333333333,2.9
0,4.016216,1.445296,2.4
0,2.73765633333333,0.436675176666667,3.1
0,2.04846166666667,0.259282046666667,3.9
0,1.46839716666667,0.145653865,4.7
0,1.47941333333333,0.120934236666667,4.4
0,1.60227283333333,0.11239785,3.4
0,1.956161,0.12542185,2.5
0,4.1500055,0.146631783333333,0.3
0,4.4965,0.118708266666667,0.2
0,5.6728265,0.12043065,0.6
0,5.35577816666667,0.15909215,1.7
0.00634,4.84324433333333,0.320349966666667,2
0.03512,4.351097,0.12012085,2.1
0.08486,3.99715833333333,0.13279205,1.9
0.08364,3.91848366666667,0.267681933333333,1.8
0.04504,4.46272233333333,0.364872966666667,1.3
0.02036,3.792388,0.1630598,1.8
0.00314,3.93932616666667,0.128620516666667,2.2
0,4.1675175,0.15545585,2.3
0,4.37550166666667,0.133154733333333,2
0,4.64032816666667,0.13739805,2
0,4.85144433333333,0.382826833333333,1.6
0,4.82769416666667,0.275965166666667,1.4
0,4.44500283333333,0.381993,1.1
0,3.669318,0.364517833333333,0.5
0,2.30981866666667,0.212227333333333,2
0,1.77422633333333,0.167618533333333,2.9
0,1.95651466666667,0.312807783333333,3.5
0,2.04109466666667,0.121421883333333,3.5
0,2.144645,0.113510833333333,3.6
0,2.35965416666667,0.114287766666667,2
0,3.14797183333333,0.14323255,3
0,4.58814333333333,0.207196833333333,2.8
0,5.57833333333333,0.231384833333333,2
0.04462,6.59527816666667,0.239995333333333,1.6
0.23054,5.10572,0.156358866666667,1.3
0.3819,4.8100125,0.120924833333333,1.1
0.45452,4.52044433333333,0.133801083333333,1.9
0.39836,4.35637966666667,0.118669283333333,2.1
0.3078,4.267512,0.180355633333333,2.5
0.16816,4.3082445,0.128143716666667,3.5
0.0396,4.4158585,0.128466316666667,2.9
0,4.581992,0.288186083333333,1.7
0,4.73690883333333,0.746559955,1.2
0,4.91465116666667,0.36946866,1
0,4.96927783333333,0.459259,0.7
0,4.9323545,0.547376833333333,0.8
0,4.66547316666667,0.429505,0.8
0,4.008569,1.558656,0.6
0,2.77673683333333,0.39538006,0.4
0,2.202978,0.213317033333333,0.4
0,1.92241033333333,0.146486975,0.4
0,1.95615283333333,0.12134984,0.2
0,2.05771783333333,0.112796133333333,0.1
0,2.26401133333333,0.1141732,0.2
0,2.94742766666667,0.142028833333333,0
0,4.40354166666667,0.160900683333333,-0.2
0,5.35223183333333,0.233505333333333,-0.6
0.0016,5.8534335,0.3805013,-0.7
0.01976,6.12644883333333,0.550934666666667,-0.7
0.02312,5.396345,0.537868093333333,-0.4
0.0243,4.33721966666667,0.26859134,0.5
0.02678,4.17980516666667,0.11868835,1
0.0153,4.09454066666667,0.11726325,1.5
0.00444,4.13362133333333,0.1173565,1.8
0,4.236874,1.2471177,1.9
0,5.6239505,0.460117093333333,1.8
0,4.54491033333333,0.185445375,1.5
0,4.71545016666667,0.194938273333333,0.7
0,4.76786216666667,0.281236166666667,0.8
0,4.73243516666667,0.360208666666667,0.8
0,4.47637066666667,0.389506333333333,0.8
0,3.846092,0.338726666666667,0.7
0,2.749361,0.230763666666667,0.5
0,2.005516,0.1151889,0.6
0,1.4951905,0.123281766666667,0.6
0,1.514413,0.120271666666667,0.4
0,1.6401795,0.112302983333333,0.5
0,2.00243966666667,0.1137098,0.4
0,2.99146533333333,0.133845766666667,0.3
0,4.6028775,0.13484365,0.2
0,5.96283016666667,0.24681,-0.1
0,5.4806435,0.16834555,-0.3
0.00602,4.87808483333333,0.286072616666667,-0.5
